card_name,card_definition
'on demand' note,"A loan agreement where the borrower must repay the lender at any time upon request. In the societal context here, it is used instead of cash for losses in games such as Bridge."
@touchstonebooks,"The official Twitter handle for Touchstone Books, an imprint of Simon & Schuster."
a hair flip,"A popular gesture often used in pop culture that involves flipping one's hair back abruptly and dramatically. This action is often associated with self-confidence, sass, or nonchalance."
a new strategy to buttering up the boss: buttering down the boss,"This strategy involves initially displaying neutrality or slight negativity toward a supervisor, followed by gradually warming up and displaying more positive nonverbal cues. The goal is to form a closer relationship and secure certain advantages if done successfully."
a theory of cognitive dissonance,"A psychological theory suggesting that we have an inner drive to hold all our attitudes and beliefs in harmony and avoid disharmony. Proposed by Festinger, L. in 1957."
a theory of cognitive dissonance,"Leo Festinger's 1957 theory that suggests that people feel discomfort when they hold two contradictory beliefs, or when their beliefs contradict their actions, leading them to change their beliefs or actions to reduce this discomfort."
absence makes the heart grow fonder,"An old adage suggesting that physical separation intensifies feelings of affection. However, in reality, the greater the distance between an engaged couple, the higher the chances their engagement may not last."
accolade,"A compliment or praise. In the given context, it refers to the act of acknowledging someone's strengths or achievements and expressing that acknowledgment to the individual."
acknowledgments,A section in a book where the author expresses gratitude or gives credit to the individuals or organizations who contributed to the creation of the work.
active listening,"Paying attention to someone's verbal pronouncements to ensure you fully comprehend what they're saying. It requires total focus on what is being said, resisting the temptation to let thoughts wander, and maintaining eye contact with the speaker to show that you are tuned into what is being said."
active listening,"Paying attention to and processing the words of the speaker. It enhances one's comprehension and response to the conversation, making it an essential tool in building new friendships."
active listening,"A communication technique that involves fully focusing on, understanding, and responding to a speaker."
active listening,A form of listening where one utilizes verbal and nonverbal cues along with empathetic statements when the other person is speaking.
active listening,"A communication technique that is used in counselling, training, and conflict resolution."
active listening,"The practice of using verbal and nonverbal cues along with empathic statements when the other person is speaking. It involves taking into serious account what the other person is saying, responding in a way that makes them feel understood, and remembering the content of communications for future reference."
active listening,"A communication technique used in counselling, training, and conflict resolution, which requires the listener to fully concentrate, understand, respond and then remember what is being said. Pages: 126, 190–93"
active listening,"A communication technique where the listener fully concentrates, understands, responds and then remembers what is being said."
active listening,"An effective skill that involves fully focusing on the speaker, not interrupting them, creating an appropriate setting for important discussions, paying full attention to verbal and non-verbal cues, and responding thoughtfully."
acts of caring,"Small gestures on a daily basis that let your partner know you care about them. This involves sharing the workload, doing something extra special for no reason, giving a compliment, offering reassurance when needed, being there when they need you, and offering a kind word and a helping hand."
adult attachment style and interpersonal distance,"The research investigating the relationship between an adult's attachment style and the interpersonal distance they tend to keep from others. (Kaitz, M., Bar-Haim, Y., Lehrer, M., & Grossman, E., 2004)"
"advice, asking for","The action of seeking guidance or recommendations. Pages: 123–24, 144–45"
"advice, asking for",An act of seeking opinion or recommendation from someone knowledgeable on a particular topic.
affirmative action,"A policy where women and minorities are actively sought out and included, resulting in a more diverse workforce that more accurately reflects the population."
"afghan people, winning over",Strategies or interaction methods used to establish rapport or credibility with individuals from Afghanistan.
"aftab, parry",A prominent expert and advisor in the field of online safety and cybercrime.
aggressive stance,A body language position suggesting hostility or assertiveness. Page: 54
aggressive stance,"A stance involving a wide base and arms akimbo, often used by a person preparing for a fight. This stance signifies an attempt to display dominance."
aggressive stance,"A body language that portrays aggression, likely to indicate confrontation or defensiveness."
aggressive stance,"An aggressive stance involves a wide stance with arms akimbo (hands on hips), which is a foe signal used by a person preparing for a fight or in an attempt to display dominance."
aggressive stance/attack posture,"A defensive positioning of the body, indicating readiness for conflict or combat."
alert reaction,A reaction triggered in the human brain when something unusual or out of the ordinary is noticed.
alterations within believable parameters,"The common practice in online profile creation where individuals frequently make modifications to their profiles, however, they try to keep changes realistic enough to be believable in case they meet the individuals in real life."
alternate response question,"A technique used to provide an illusion of control, while the person asking the question actually limits the available choices."
alternate response question,"A question framed with predetermined choices, offering an illusion of control to the one deciding, while keeping the control within the choices provided by the asker. It's a good strategy for parents guiding their children's decision-making skills."
alternate response question,"A questioning technique commonly used in sales, where the salesperson controls the line of questioning while giving the customer the illusion of control. For example, instead of asking if a customer wants to buy a car, a salesperson might ask if they prefer a red or blue car."
alternate response questions,"These are questions posed in a way that offer alternative answers, essentially guiding the respondent to choose between given options."
an eye roll,"An eye roll is a non-verbal gesture in which one rolls their eyes upwards, often used to express disbelief, exasperation, or annoyance. The detail of this term is not fully explained in the provided content."
andrew cardone and brooke schafer,Individuals who volunteered as models for the photographs in the book.
