,card_name,card_definition
0,Cognitive Dissonance Theory ,"A psychological theory proposed by Leo Festinger in 1957 that suggests individuals have an inherent drive to maintain harmony between their beliefs and actions. When two beliefs, or a belief and an action, contradict each other, it creates a state of discomfort known as cognitive dissonance. Individuals will then attempt to reduce this discomfort by altering their beliefs or actions."
1,Active Listening ,"Active listening is a communication technique used widely in counselling, training, and conflict resolution, which involves fully concentrating, understanding, responding and then remembering what is being said. This includes focusing on the speaker without interruption, acknowledging verbal and non-verbal cues, offering empathetic statements and creating an appropriate environment for fruitful discussions. It's an essential skill for enhancing comprehension, response, and the general quality of conversations, supporting the building of relationships and effective communication."
2,Advice (Asking for),"The action or process of seeking guidance, opinion, or recommendations from someone knowledgeable on a particular topic. This is typically used as a method to gather insights or decide on a course of action in specific situations or areas."
3,Aggressive Stance ,"An assertive body language position indicating hostility or preparedness for confrontation. It involves a broad stance with arms akimbo (hands on hips), typically used by a person preparing for a fight or intending to display dominance. This stance is often a sign of aggression or defensiveness."
4,Alternate Response Question ,"A technique used to give an illusion of control to the decision-maker, while the person presenting the question effectively limits the choices available. The question is framed with predetermined options, keeping the control within the range of options provided by the asker. This questioning technique is commonly used in fields like sales where, for example, a salesperson may ask a customer if they prefer a red or blue car, instead of directly asking if they want to buy a car. It's also a strategy for parents guiding their children's decision-making skills."
5,Anger Management,"Anger management is the process of learning to recognize signs of becoming angry and taking action to calm down. It involves dealing with disagreements, conflicts and angry reactions in a productive way. This skill is essential in navigating through rough spots in any interpersonal interaction, thereby maintaining harmony in any relationship."
6,Anger Management Strategy ,"A method that helps manage anger by shifting the focus to the angry individual, offering them a chance to express their feelings, and presenting a clear action plan to address the problem that induced the anger. This approach breaks the cycle of anger and facilitates resolution without harm to personal relationships."
7,Aristotle ,"An ancient Greek philosopher and polymath during the Classical period in Ancient Greece. Recognized as one of the most crucial founding figures in Western philosophy, he contributed significantly to various fields of knowledge, including science."
8,Arm Crossing,"Arm Crossing is a type of body language that serves as a psychological barrier symbolizing protection. It typically occurs when individuals feel anxious, threatened or emotionally uncomfortable. This behavior can indicate a lack of rapport or discomfort with a particular topic during an interaction. It is generally perceived as a defensive stance."
9,Arms Akimbo ,"Arms akimbo refers to a body language gesture where a person stands with their hands on their hips and elbows bowed outward or rearward. This posture is often associated with dominance, aggression, readiness for assertive action, or impatience. It serves to widen a person's profile in an attempt to display dominance."
10,Asynchronous Posture ,"Asynchronous posture is a situation where the body language between two individuals is not mirrored or in harmony, indicating a lack of rapport or poor communication. This behavior contradicts the concept of mirroring behavior or isopraxism, which suggests a strong rapport and understanding between people."
11,Attack Signals ,"Non-verbal cues exhibited by individuals who are about to engage in a confrontation or conflict. These cues can include a range of behaviors such as clenched fists, widened stance, flaring nostrils and eye rolls to facial expressions like the redness of the face, squinting, furrowed brows and facial tension. All these signals essentially place the recipient in a ""fight or flight"" state of response."
12,Attractiveness,"Attractiveness refers to a quality that arouses interest, engages thought, or is considered appealing or alluring to others. It is a tangible benefit that varies according to the widely accepted standards in each culture and can change over time. Though it's not an absolute quality, attractiveness can be enhanced through maintaining good eye contact, dressing well, acting in an upbeat manner, and listening well. It has been found to carry some societal benefits such as additional earnings, exemplified by research showing that more attractive female servers receive higher tips regardless of the level of service."
13,Backward Lean ,"A nonverbal behavior where a person leans back, creating physical distance from the other participant. This body posture is often indicative of discomfort, lack of commitment, feelings of intimidation or a lack of rapport. It could symbolize a psychological distance or discomfort in the context of communication."
14,Barrier-Removing Behaviors ,Specific actions taken in conversation where an individual removes physical obstacles such as cups or vases from between themselves and the person they're conversing with. This can be a sign of good rapport between the two parties and can be observed by monitoring where individuals place their objects on the table.
15,Barriers,"Barriers refer to symbolic indications of discomfort in interpersonal interactions, created either by the positioning of hands and feet or by placing an inanimate object between individuals. Removal or erection of these barriers serves as a test for rapport, with removal indicating ease and comfort in the interaction."
16,Behavioral Analysis ,"The practice of studying the behavior of an individual or group with the aim to comprehend their actions and predict future behaviors. This skill is essential for rapidly reading and gaining a unique understanding of people's nature and behaviors, popularly utilized in professions such as those within the FBI where strategies rely heavily on understanding inherent shared human behavior."
17,Behavioral Analysis Program,"A program within the FBI that uses behavioral sciences to assist in criminal investigations. This specialty focuses on developing strategies to read people quickly, gain their trust, form relationships, and potentially convert them into spies for America. The teams are often tasked with studying the behaviors and psychological patterns of targets to create more effective strategies of approach and recruitment."
18,Behavioral Analysis Program (BAP),"A program aimed at understanding, predicting, and potentially modifying human behavior for a variety of applications. This program is designed with a focus on the comprehensive study of human behavior to provide insights and devise strategies for behavioral changes, prediction, or influence."
19,Ben Franklin Effect ,This is a psychological phenomenon where a person who does a favor for another individual tends to feel positive about themselves and develops a stronger liking to the other person. This challenges the traditional belief that gratitude generally originates from the individual receiving the favor. It essentially instigates that doing a favor can lead to liking someone more.
20,Big Three Anger Management Approach,"A proven psychological method for managing anger effectively. This approach involves three main strategies: Empathic statements, allowing the expression of understanding and identification with another person's feelings; Presumptive statements, producing an assumption about another person's thoughts or feelings that needs confirmation; and Venting, permitting the expression of frustration or anger in a controlled environment."
21,Bitch Flip,"An aggressive postural display, typically demonstrating dominance or dismissal. It is a dismissive or contemptuous gesture often involving the act of flipping or shaking one's hair."
22,Boredom,"Boredom is the state of feeling uninterested or unenthusiastic about recurring events or situations due to lack of variety, stimulation, or excitement. This state of weariness, if experienced persistently in a relationship context, could potentially lead to its breakdown or separation."
23,Botox Paradox ,"The paradoxical phenomena resulting from the use of Botox, where botulinum toxin injections inhibit the effortless manipulation of facial features. This can lead to an inability to send ""friend signals"" such as natural smiles and eyebrow flashes, potentially causing misunderstandings or misconceptions about a person's emotional intent. The absence of facial feedback might disrupt emotional experience and perception."
24,Breach of Promise ,"The act of failing to fulfill an agreement, contract, or especially a promise to engage in a future marriage. This term, historically, is most often used in the context of a marriage contract, but can apply to any type of promise that is not fulfilled."
